trans_date,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d
2013-04-27,2,WITHDRAWAL,11000.0,11000.0,1.0
2013-05-27,2,WITHDRAWAL,17600.0,17600.0,1.0
2013-06-26,2,WITHDRAWAL,22400.0,22400.0,1.0
2013-07-11,2,WITHDRAWAL,3200.0,3200.0,1.0
2013-07-26,2,WITHDRAWAL,10300.0,10300.0,1.0
2013-07-31,2,WITHDRAWAL,14.6,14.6,1.0
2013-08-05,2,WITHDRAWAL,7266.0,7266.0,1.0
2013-08-07,2,WITHDRAWAL,2900.0,10166.0,2.0
2013-08-25,2,WITHDRAWAL,1000.0,1000.0,1.0
2013-08-31,2,WITHDRAWAL,14.6,14.6,1.0
2013-09-05,2,WITHDRAWAL,7266.0,7266.0,1.0
2013-09-14,2,WITHDRAWAL,3600.0,3600.0,1.0
2013-09-24,2,WITHDRAWAL,4500.0,4500.0,1.0
2013-09-26,2,WITHDRAWAL,10200.0,14700.0,2.0
2013-09-30,2,WITHDRAWAL,14.6,10214.6,2.0
2013-10-03,2,WITHDRAWAL,4000.0,4014.6,2.0
2013-10-05,2,WITHDRAWAL,7266.0,11266.0,2.0
2013-10-24,2,WITHDRAWAL,3000.0,3000.0,1.0
2013-10-31,2,WITHDRAWAL,14.6,14.6,1.0
2013-11-05,2,WITHDRAWAL,7266.0,7266.0,1.0
2013-11-21,2,WITHDRAWAL,3800.0,3800.0,1.0
2013-11-23,2,WITHDRAWAL,5300.0,9100.0,2.0
2013-11-30,2,WITHDRAWAL,14.6,14.6,1.0
2013-12-05,2,WITHDRAWAL,7266.0,7266.0,1.0
2013-12-08,2,WITHDRAWAL,3500.0,10766.0,2.0
2013-12-10,2,WITHDRAWAL,4200.0,7700.0,2.0
2013-12-19,2,WITHDRAWAL,3000.0,3000.0,1.0
2013-12-23,2,WITHDRAWAL,3100.0,6100.0,2.0
2013-12-31,2,WITHDRAWAL,14.6,14.6,1.0
2014-01-05,2,WITHDRAWAL,7266.0,7266.0,1.0
2014-01-12,2,WITHDRAWAL,3372.7,3372.7,1.0
2014-01-12,2,WITHDRAWAL,2100.0,5472.7,2.0
2014-01-18,2,WITHDRAWAL,2400.0,2400.0,1.0
2014-01-19,2,WITHDRAWAL,6000.0,8400.0,2.0
2014-01-22,2,WITHDRAWAL,400.0,8800.0,3.0
2014-01-26,2,WITHDRAWAL,6600.0,7000.0,2.0
2014-01-31,2,WITHDRAWAL,14.6,14.6,1.0
2014-02-05,2,WITHDRAWAL,7266.0,7266.0,1.0
2014-02-12,2,WITHDRAWAL,3372.7,3372.7,1.0
2014-02-21,2,WITHDRAWAL,3500.0,3500.0,1.0
2014-02-28,2,WITHDRAWAL,14.6,14.6,1.0
2014-03-05,2,WITHDRAWAL,7266.0,7266.0,1.0
2014-03-12,2,WITHDRAWAL,3372.7,3372.7,1.0
2014-03-23,2,WITHDRAWAL,4900.0,4900.0,1.0
2014-03-31,2,WITHDRAWAL,14.6,14.6,1.0
