trans_date,account_id,trans_type,amount,total_withdrawals_5d,num_withdrawals_5d,anomaly_label
2013-04-27,9,WITHDRAWAL,6800.0,6800.0,1.0,0
2013-05-27,9,WITHDRAWAL,4400.0,4400.0,1.0,0
2013-05-31,9,WITHDRAWAL,14.6,4414.6,2.0,0
2013-06-17,9,WITHDRAWAL,8900.0,8900.0,1.0,0
2013-06-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2013-07-26,9,WITHDRAWAL,1100.0,1100.0,1.0,0
2013-07-29,9,WITHDRAWAL,1250.0,2350.0,2.0,0
2013-07-31,9,WITHDRAWAL,2100.0,3350.0,2.0,0
2013-07-31,9,WITHDRAWAL,14.6,3364.6,3.0,0
2013-08-06,9,WITHDRAWAL,1300.0,1300.0,1.0,0
2013-08-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2013-09-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2013-10-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2013-11-23,9,WITHDRAWAL,100.0,100.0,1.0,0
2013-11-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2013-12-17,9,WITHDRAWAL,2100.0,2100.0,1.0,0
2013-12-23,9,WITHDRAWAL,300.0,300.0,1.0,0
2013-12-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-01-10,9,WITHDRAWAL,1000.0,1000.0,1.0,0
2014-01-13,9,WITHDRAWAL,1100.0,2100.0,2.0,0
2014-01-16,9,WITHDRAWAL,900.0,2000.0,2.0,0
2014-01-22,9,WITHDRAWAL,700.0,700.0,1.0,0
2014-01-23,9,WITHDRAWAL,1450.0,2150.0,2.0,0
2014-01-24,9,WITHDRAWAL,950.0,3100.0,3.0,0
2014-01-28,9,WITHDRAWAL,850.0,1800.0,2.0,0
2014-01-30,9,WITHDRAWAL,4100.0,4950.0,2.0,0
2014-01-31,9,WITHDRAWAL,14.6,4964.6,3.0,0
2014-02-28,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-03-16,9,WITHDRAWAL,1800.0,1800.0,1.0,0
2014-03-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-04-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-05-22,9,WITHDRAWAL,7100.0,7100.0,1.0,0
2014-05-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-06-10,9,WITHDRAWAL,20300.0,20300.0,1.0,0
2014-06-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-07-05,9,WITHDRAWAL,1650.0,1650.0,1.0,0
2014-07-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-08-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-09-04,9,WITHDRAWAL,250.0,264.6,2.0,0
2014-09-19,9,WITHDRAWAL,900.0,900.0,1.0,0
2014-09-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-10-09,9,WITHDRAWAL,2200.0,2200.0,1.0,0
2014-10-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-11-09,9,WITHDRAWAL,350.0,350.0,1.0,0
2014-11-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2014-12-18,9,WITHDRAWAL,1800.0,1800.0,1.0,0
2014-12-20,9,WITHDRAWAL,1500.0,3300.0,2.0,0
2014-12-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-01-01,9,WITHDRAWAL,6100.0,6114.6,2.0,0
2015-01-01,9,WITHDRAWAL,800.0,6914.6,3.0,0
2015-01-01,9,WITHDRAWAL,300.0,7214.6,4.0,0
2015-01-03,9,WITHDRAWAL,700.0,7914.6,5.0,0
2015-01-08,9,WITHDRAWAL,600.0,600.0,1.0,0
2015-01-17,9,WITHDRAWAL,700.0,700.0,1.0,0
2015-01-18,9,WITHDRAWAL,9700.0,10400.0,2.0,0
2015-01-25,9,WITHDRAWAL,650.0,650.0,1.0,0
2015-01-30,9,WITHDRAWAL,550.0,550.0,1.0,0
2015-01-31,9,WITHDRAWAL,14.6,564.6,2.0,0
2015-02-15,9,WITHDRAWAL,1050.0,1050.0,1.0,0
2015-02-28,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-03-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-04-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-05-14,9,WITHDRAWAL,2000.0,2000.0,1.0,0
2015-05-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-06-02,9,WITHDRAWAL,1450.0,1464.6,2.0,0
2015-06-21,9,WITHDRAWAL,5700.0,5700.0,1.0,0
2015-06-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-07-16,9,WITHDRAWAL,800.0,800.0,1.0,0
2015-07-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-08-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-09-05,9,WITHDRAWAL,2200.0,2200.0,1.0,0
2015-09-13,9,WITHDRAWAL,1400.0,1400.0,1.0,0
2015-09-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-10-14,9,WITHDRAWAL,1800.0,1800.0,1.0,0
2015-10-22,9,WITHDRAWAL,1900.0,1900.0,1.0,0
2015-10-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-11-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2015-12-05,9,WITHDRAWAL,800.0,800.0,1.0,0
2015-12-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2016-01-04,9,WITHDRAWAL,1100.0,1114.6,2.0,0
2016-01-09,9,WITHDRAWAL,850.0,850.0,1.0,0
2016-01-12,9,WITHDRAWAL,23500.0,24350.0,2.0,0
2016-01-15,9,WITHDRAWAL,1250.0,24750.0,2.0,0
2016-01-17,9,WITHDRAWAL,1200.0,2450.0,2.0,0
2016-01-20,9,WITHDRAWAL,1250.0,2450.0,2.0,0
2016-01-21,9,WITHDRAWAL,6800.0,9250.0,3.0,0
2016-01-22,9,WITHDRAWAL,950.0,9000.0,3.0,0
2016-01-28,9,WITHDRAWAL,8800.0,8800.0,1.0,0
2016-01-31,9,WITHDRAWAL,14.6,8814.6,2.0,0
2016-02-11,9,WITHDRAWAL,900.0,900.0,1.0,0
2016-02-28,9,WITHDRAWAL,1250.0,1250.0,1.0,0
2016-02-29,9,WITHDRAWAL,14.6,1264.6,2.0,0
2016-03-12,9,WITHDRAWAL,800.0,800.0,1.0,0
2016-03-17,9,WITHDRAWAL,800.0,800.0,1.0,0
2016-03-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2016-04-11,9,WITHDRAWAL,1600.0,1600.0,1.0,0
2016-04-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2016-05-11,9,WITHDRAWAL,1900.0,1900.0,1.0,0
2016-05-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2016-06-09,9,WITHDRAWAL,1750.0,1750.0,1.0,0
2016-06-10,9,WITHDRAWAL,3400.0,5150.0,2.0,0
2016-06-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2016-07-10,9,WITHDRAWAL,1100.0,1100.0,1.0,0
2016-07-21,9,WITHDRAWAL,2050.0,2050.0,1.0,0
2016-07-24,9,WITHDRAWAL,600.0,2650.0,2.0,0
2016-07-30,9,WITHDRAWAL,850.0,850.0,1.0,0
2016-07-31,9,WITHDRAWAL,14.6,864.6,2.0,0
2016-08-29,9,WITHDRAWAL,1400.0,1400.0,1.0,0
2016-08-31,9,WITHDRAWAL,14.6,1414.6,2.0,0
2016-09-08,9,WITHDRAWAL,800.0,800.0,1.0,0
2016-09-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2016-10-28,9,WITHDRAWAL,1150.0,1150.0,1.0,0
2016-10-31,9,WITHDRAWAL,14.6,1164.6,2.0,0
2016-11-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2016-12-07,9,WITHDRAWAL,5700.0,5700.0,1.0,0
2016-12-25,9,WITHDRAWAL,2700.0,2700.0,1.0,0
2016-12-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-01-03,9,WITHDRAWAL,250.0,264.6,2.0,0
2017-01-06,9,WITHDRAWAL,3900.0,4150.0,2.0,0
2017-01-07,9,WITHDRAWAL,5600.0,9750.0,3.0,0
2017-01-07,9,WITHDRAWAL,850.0,10600.0,4.0,0
2017-01-08,9,WITHDRAWAL,400.0,10750.0,4.0,0
2017-01-22,9,WITHDRAWAL,1250.0,1250.0,1.0,0
2017-01-24,9,WITHDRAWAL,700.0,1950.0,2.0,0
2017-01-28,9,WITHDRAWAL,1100.0,1800.0,2.0,0
2017-01-31,9,WITHDRAWAL,14.6,1114.6,2.0,0
2017-02-28,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-03-07,9,WITHDRAWAL,1000.0,1000.0,1.0,0
2017-03-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-04-02,9,WITHDRAWAL,1400.0,1414.6,2.0,0
2017-04-06,9,WITHDRAWAL,1800.0,3200.0,2.0,0
2017-04-08,9,WITHDRAWAL,1900.0,3700.0,2.0,0
2017-04-09,9,WITHDRAWAL,550.0,4250.0,3.0,0
2017-04-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-05-06,9,WITHDRAWAL,200.0,200.0,1.0,0
2017-05-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-06-21,9,WITHDRAWAL,500.0,500.0,1.0,0
2017-06-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-07-05,9,WITHDRAWAL,4500.0,4500.0,1.0,0
2017-07-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-08-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-09-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-10-03,9,WITHDRAWAL,100.0,114.6,2.0,0
2017-10-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-11-02,9,WITHDRAWAL,38100.0,38114.6,2.0,0
2017-11-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2017-12-02,9,WITHDRAWAL,17500.0,17514.6,2.0,0
2017-12-07,9,WITHDRAWAL,700.0,700.0,1.0,0
2017-12-18,9,WITHDRAWAL,450.0,450.0,1.0,0
2017-12-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2018-01-01,9,WITHDRAWAL,11100.0,11114.6,2.0,0
2018-01-02,9,WITHDRAWAL,1300.0,12414.6,3.0,0
2018-01-04,9,WITHDRAWAL,850.0,13264.6,4.0,0
2018-01-13,9,WITHDRAWAL,350.0,350.0,1.0,0
2018-01-19,9,WITHDRAWAL,1000.0,1000.0,1.0,0
2018-01-20,9,WITHDRAWAL,1150.0,2150.0,2.0,0
2018-01-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2018-02-28,9,WITHDRAWAL,14.6,14.6,1.0,0
2018-03-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2018-04-01,9,WITHDRAWAL,2000.0,2014.6,2.0,0
2018-04-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2018-05-01,9,WITHDRAWAL,13200.0,13214.6,2.0,0
2018-05-31,9,WITHDRAWAL,1850.0,1850.0,1.0,0
2018-05-31,9,WITHDRAWAL,14.6,1864.6,2.0,0
2018-05-31,9,WITHDRAWAL,8100.0,9964.6,3.0,0
2018-06-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2018-06-30,9,WITHDRAWAL,3000.0,3014.6,2.0,0
2018-07-30,9,WITHDRAWAL,4900.0,4900.0,1.0,0
2018-07-31,9,WITHDRAWAL,14.6,4914.6,2.0,0
2018-08-31,9,WITHDRAWAL,14.6,14.6,1.0,0
2018-09-28,9,WITHDRAWAL,6400.0,6400.0,1.0,0
2018-09-30,9,WITHDRAWAL,14.6,6414.6,2.0,0
2018-10-28,9,WITHDRAWAL,3400.0,3400.0,1.0,0
2018-10-31,9,WITHDRAWAL,14.6,3414.6,2.0,0
2018-11-03,9,WITHDRAWAL,750.0,764.6,2.0,0
2018-11-14,9,WITHDRAWAL,1200.0,1200.0,1.0,0
2018-11-30,9,WITHDRAWAL,14.6,14.6,1.0,0
2018-12-11,9,WITHDRAWAL,1100.0,1100.0,1.0,0
2013-11-25,27,WITHDRAWAL,1700.0,1700.0,1.0,0
2013-12-25,27,WITHDRAWAL,8400.0,8400.0,1.0,0
2014-01-24,27,WITHDRAWAL,8600.0,8600.0,1.0,0
2014-02-23,27,WITHDRAWAL,7100.0,7100.0,1.0,0
2014-02-28,27,WITHDRAWAL,14.6,14.6,1.0,0
2014-03-05,27,WITHDRAWAL,4054.0,4054.0,1.0,0
2014-03-09,27,WITHDRAWAL,4300.0,8354.0,2.0,0
2014-03-25,27,WITHDRAWAL,5700.0,5700.0,1.0,0
2014-03-31,27,WITHDRAWAL,14.6,14.6,1.0,0
2014-04-05,27,WITHDRAWAL,4054.0,4054.0,1.0,0
2014-04-24,27,WITHDRAWAL,4700.0,4700.0,1.0,0
2014-04-30,27,WITHDRAWAL,14.6,14.6,1.0,0
2014-05-05,27,WITHDRAWAL,4054.0,4054.0,1.0,0
2014-05-24,27,WITHDRAWAL,3800.0,3800.0,1.0,0
